Complaint ID,Company Response to Consumer,Timely Response,Consumer Disputed
471327,Closed with explanation,Yes,No
471177,Closed with explanation,No,
471179,Closed with non-monetary relief,Yes,Yes
471182,Closed,Yes,Yes
471155,Closed with explanation,Yes,No
484759,Closed with non-monetary relief,Yes,No
470195,Closed with non-monetary relief,Yes,No
471197,Closed with explanation,Yes,No
470224,Closed with monetary relief,Yes,No
471204,Closed with monetary relief,Yes,No
471207,Closed with explanation,Yes,No
471208,Closed with explanation,Yes,No
480459,Closed with monetary relief,Yes,No
470210,Closed with explanation,Yes,No
471365,Closed with explanation,Yes,No
471379,Closed with monetary relief,Yes,No
470288,Closed with explanation,Yes,No
471220,Closed with explanation,Yes,Yes
484764,Closed with monetary relief,Yes,No
471203,Closed with non-monetary relief,Yes,No
471226,Closed with explanation,Yes,No
470314,Closed with explanation,Yes,No
487050,Closed with explanation,Yes,No
471227,Closed with non-monetary relief,Yes,No
470330,Closed with explanation,Yes,No
470596,Closed with explanation,Yes,No
470332,Closed with explanation,Yes,No
470650,Closed with explanation,Yes,No
468438,Closed with explanation,Yes,Yes
470337,Closed with monetary relief,Yes,No
470345,Closed with explanation,Yes,No
479616,Closed with explanation,Yes,Yes
484765,Closed with explanation,Yes,No
480992,Closed with explanation,Yes,No
470385,Closed with explanation,Yes,No
464806,Closed with explanation,Yes,Yes
476056,Closed with explanation,Yes,No
470418,Closed with monetary relief,Yes,No
470392,Closed with monetary relief,Yes,No
479863,Closed with explanation,Yes,No
471270,Closed with explanation,Yes,No
471273,Closed with explanation,Yes,Yes
470705,Closed with explanation,Yes,No
470452,Closed with explanation,Yes,Yes
471552,Closed with explanation,Yes,No
470466,Closed with non-monetary relief,Yes,No
471544,Closed with explanation,Yes,No
470471,Closed with explanation,Yes,No
482422,Closed with non-monetary relief,Yes,Yes
470659,Closed with monetary relief,Yes,No
471275,Closed with explanation,Yes,No
470535,Closed with monetary relief,Yes,No
470633,Closed with explanation,Yes,Yes
479330,Closed with explanation,Yes,Yes
463274,Closed,Yes,Yes
479508,Closed with monetary relief,Yes,No
471300,Closed with explanation,Yes,Yes
463295,Closed with explanation,Yes,No
471307,Closed with explanation,Yes,No
471598,Closed with monetary relief,Yes,No
482190,Closed with explanation,Yes,No
474937,Closed with explanation,Yes,No
481029,Closed with non-monetary relief,Yes,No
463325,Closed with monetary relief,Yes,No
463344,Closed with monetary relief,Yes,No
470611,Closed with explanation,Yes,No
463345,Closed with explanation,Yes,Yes
470618,Closed with explanation,Yes,No
480995,Closed with explanation,Yes,No
458508,Closed with explanation,Yes,Yes
470648,Closed with non-monetary relief,Yes,No
470645,Closed with explanation,Yes,No
470655,Closed with explanation,Yes,No
471237,Closed with explanation,Yes,No
471325,Closed with explanation,Yes,No
463408,Closed with explanation,Yes,No
470683,Closed with explanation,Yes,No
470685,Closed with explanation,Yes,No
470690,Closed with non-monetary relief,Yes,No
463413,Closed with explanation,Yes,No
471333,Closed with explanation,Yes,No
479407,Closed with explanation,Yes,No
455673,Closed with explanation,Yes,No
480907,Closed with explanation,Yes,No
458850,Closed with non-monetary relief,Yes,No
471349,Closed with explanation,Yes,No
463452,Closed with explanation,Yes,No
480639,Closed with explanation,Yes,No
463464,Closed with explanation,Yes,No
470753,Closed with non-monetary relief,Yes,No
482000,Closed with explanation,Yes,No
481511,Closed with explanation,Yes,Yes
481969,Closed with explanation,Yes,No
463491,Closed with non-monetary relief,Yes,Yes
481956,Closed with explanation,Yes,Yes
481987,Closed with explanation,Yes,No
471391,Closed with explanation,Yes,No
471393,Closed with explanation,Yes,No
481990,Closed with explanation,Yes,No
471396,Closed with non-monetary relief,Yes,No
471397,Closed with explanation,Yes,No
482036,Closed with explanation,Yes,Yes
481612,Closed with explanation,Yes,No
463496,Closed with explanation,Yes,No
472449,Closed with non-monetary relief,Yes,No
481624,Closed with explanation,Yes,No
482074,Closed with explanation,Yes,No
475541,Closed with explanation,Yes,No
471409,Closed with explanation,Yes,Yes
481628,Closed with explanation,Yes,No
454537,Closed with explanation,Yes,No
471413,Closed with explanation,Yes,Yes
471426,Closed with explanation,Yes,Yes
479594,Closed with explanation,Yes,No
463525,Closed with explanation,Yes,No
481632,Closed with explanation,Yes,No
471328,Closed with explanation,Yes,No
471416,Closed with explanation,Yes,No
471418,Closed with explanation,Yes,No
458998,Closed with monetary relief,Yes,No
471427,Closed with monetary relief,Yes,Yes
471432,Closed with non-monetary relief,Yes,No
471429,Closed with non-monetary relief,Yes,No
481656,Closed with explanation,Yes,No
463582,Closed with explanation,Yes,No
463588,Closed with explanation,Yes,No
481664,Closed with monetary relief,Yes,No
468000,Closed with explanation,Yes,No
482132,Closed with explanation,Yes,No
481678,Closed with explanation,Yes,No
475566,Closed with non-monetary relief,Yes,No
463565,Closed with explanation,Yes,No
481688,Closed with explanation,Yes,No
481691,Closed with explanation,Yes,No
475473,Closed with non-monetary relief,Yes,No
463616,Closed with explanation,Yes,No
471461,Closed with monetary relief,Yes,No
480843,Closed with explanation,Yes,No
471470,Closed with explanation,Yes,No
463635,Closed with explanation,Yes,Yes
463636,Closed with explanation,Yes,Yes
482419,Closed with explanation,Yes,No
474002,Closed with explanation,Yes,Yes
471471,Closed with monetary relief,Yes,No
480414,Closed with explanation,Yes,No
463640,Closed with explanation,Yes,No
463641,Closed with explanation,Yes,No
471476,Closed with explanation,Yes,No
471488,Closed with explanation,Yes,No
463655,Closed with explanation,Yes,No
472477,Closed with explanation,Yes,No
471492,Closed with non-monetary relief,Yes,No
481738,Closed,Yes,No
482402,Closed with explanation,Yes,No
463669,Closed with monetary relief,Yes,No
463670,Closed with explanation,Yes,No
471496,Closed with non-monetary relief,Yes,No
471504,Closed with explanation,Yes,No
471510,Closed with non-monetary relief,Yes,No
463716,Closed with explanation,Yes,No
463705,Closed with explanation,Yes,No
463682,Closed with explanation,Yes,No
462160,Closed with explanation,Yes,No
463683,Closed with explanation,Yes,No
481768,Closed with explanation,Yes,Yes
463685,Closed with monetary relief,Yes,No
463687,Closed with explanation,Yes,No
463688,Closed with explanation,Yes,Yes
474839,Closed with explanation,Yes,No
455881,Closed with explanation,Yes,No
471530,Closed with explanation,Yes,No
463689,Closed with explanation,Yes,No
463691,Closed with explanation,Yes,No
463693,Closed with explanation,Yes,Yes
463751,Closed with explanation,Yes,No
481789,Closed with monetary relief,Yes,No
473158,Closed with explanation,Yes,No
482150,Closed with non-monetary relief,Yes,No
471534,Closed with explanation,Yes,No
463699,Closed with explanation,Yes,Yes
463702,Closed with explanation,Yes,No
463723,Closed with explanation,Yes,No
471539,Closed with non-monetary relief,Yes,No
481827,Closed with explanation,Yes,No
464653,Closed with explanation,Yes,No
463742,Closed with explanation,Yes,No
458524,Closed with non-monetary relief,Yes,No
471560,Closed with explanation,Yes,No
463752,Closed with explanation,Yes,Yes
482407,Closed with explanation,Yes,No
475511,Closed with explanation,Yes,Yes
471580,Closed with explanation,Yes,No
454548,Closed with explanation,Yes,No
471587,Closed with explanation,Yes,Yes
482133,Closed with explanation,Yes,No
481849,Closed with explanation,Yes,No
463768,Closed with explanation,Yes,No
475145,Closed with explanation,Yes,No
481857,Closed with explanation,Yes,No
481861,Closed with explanation,Yes,No
454653,Closed with explanation,Yes,No
471617,Closed with non-monetary relief,Yes,No
463804,Closed with explanation,Yes,No
482413,Closed,Yes,No
475211,Closed with explanation,Yes,Yes
471625,Closed with explanation,Yes,No
463818,Closed with non-monetary relief,Yes,No
463820,Closed with explanation,Yes,No
471653,Closed with explanation,Yes,No
471655,Closed with explanation,Yes,No
463829,Closed with monetary relief,Yes,No
454838,Closed with explanation,Yes,Yes
457178,Closed with non-monetary relief,Yes,No
471663,Closed with explanation,Yes,Yes
464221,Closed with explanation,Yes,No
464275,Closed with explanation,Yes,No
465071,Closed with explanation,Yes,No
465980,Closed with monetary relief,Yes,No
475789,Closed with explanation,Yes,No
481960,Closed with explanation,Yes,No
481957,Closed with explanation,Yes,No
463887,Closed with explanation,Yes,No
463889,Closed with explanation,Yes,Yes
465093,Closed with explanation,Yes,Yes
465248,Closed with monetary relief,Yes,Yes
482137,Closed with non-monetary relief,Yes,No
481968,Closed with explanation,Yes,No
465316,Closed with explanation,Yes,Yes
481055,Closed,Yes,No
465121,Closed with explanation,Yes,No
465124,Closed with monetary relief,Yes,No
475638,Closed with monetary relief,Yes,No
463979,Closed with explanation,Yes,No
465138,Closed with explanation,Yes,No
465156,Closed with explanation,Yes,No
475950,Closed with non-monetary relief,Yes,No
482076,Closed with explanation,Yes,No
480828,Closed with explanation,Yes,No
482078,Closed with explanation,Yes,No
464006,Closed with explanation,Yes,No
465189,Closed with explanation,Yes,No
465192,Closed with explanation,Yes,No
482083,Closed with non-monetary relief,Yes,No
465195,Closed with explanation,Yes,No
465198,Closed with explanation,Yes,No
465205,Closed with explanation,Yes,No
482097,Closed with non-monetary relief,Yes,No
464031,Closed with explanation,Yes,No
465199,Closed,Yes,No
465206,Closed with explanation,Yes,No
465207,Closed with explanation,Yes,No
465212,Closed with explanation,Yes,No
464051,Closed with explanation,Yes,No
464059,Closed with explanation,Yes,No
454985,Closed with explanation,Yes,Yes
462445,Closed with non-monetary relief,Yes,No
465218,Closed with explanation,Yes,No
466121,Closed with explanation,Yes,No
454862,Closed with explanation,Yes,No
465224,Closed with explanation,Yes,Yes
464067,Closed with explanation,Yes,Yes
462132,Closed with explanation,Yes,No
499212,Closed with explanation,Yes,No
475460,Closed with explanation,Yes,No
482494,Closed with non-monetary relief,Yes,No
495107,Closed with non-monetary relief,Yes,No
482484,Closed with explanation,Yes,No
482469,Closed with explanation,Yes,No
464080,Closed with explanation,Yes,No
476088,Closed with explanation,Yes,No
493198,Closed with non-monetary relief,Yes,No
482470,Closed with non-monetary relief,Yes,No
482499,Closed with explanation,Yes,No
493184,Closed with explanation,Yes,No
454654,Closed with explanation,Yes,No
464096,Closed with explanation,Yes,No
482503,Closed with explanation,Yes,No
464108,Closed with non-monetary relief,Yes,No
482834,Closed with explanation,Yes,Yes
493185,Closed with explanation,Yes,No
486967,Closed with non-monetary relief,Yes,No
464608,Closed with explanation,Yes,No
482835,Closed with explanation,Yes,No
464118,Closed with explanation,No,No
464614,Closed,Yes,Yes
484851,Closed with explanation,Yes,No
475196,Closed with explanation,Yes,Yes
488956,Closed with monetary relief,Yes,No
482474,Closed with explanation,Yes,No
488098,Closed with explanation,Yes,No
465281,Closed with non-monetary relief,Yes,No
484852,Closed with explanation,Yes,Yes
482887,Closed,Yes,No
482544,Closed with explanation,Yes,No
484871,Closed with explanation,Yes,No
482521,Closed with non-monetary relief,Yes,No
488082,Closed with explanation,Yes,No
464825,Closed with explanation,Yes,No
465296,Closed with non-monetary relief,Yes,No
482487,Closed with explanation,Yes,No
465305,Closed with explanation,Yes,No
464660,Closed with monetary relief,Yes,No
464145,Closed with explanation,Yes,No
488154,Closed,Yes,No
488008,Closed with explanation,Yes,Yes
482546,Closed with non-monetary relief,Yes,No
464164,Closed,Yes,No
464155,Closed with explanation,Yes,No
482552,Closed with explanation,Yes,No
488169,Closed with monetary relief,Yes,Yes
465325,Closed with explanation,Yes,No
465331,Closed with explanation,Yes,Yes
482563,Closed with non-monetary relief,Yes,No
463917,Closed with explanation,Yes,No
465343,Closed with explanation,Yes,No
479943,Closed with explanation,Yes,Yes
488194,Closed with explanation,Yes,Yes
488130,Closed with explanation,Yes,No
463174,Closed with monetary relief,Yes,No
493187,Closed with monetary relief,Yes,No
482579,Closed with explanation,Yes,No
465326,Closed,Yes,No
482561,Closed with explanation,Yes,Yes
487743,Closed with explanation,Yes,Yes
488213,Closed with monetary relief,Yes,Yes
464202,Closed with explanation,Yes,No
484877,Closed with explanation,Yes,No
465370,Closed with explanation,Yes,No
464204,Closed,Yes,No
482846,Closed with explanation,Yes,No
488217,Closed with non-monetary relief,Yes,No
488227,Closed with explanation,Yes,No
488229,Closed with explanation,Yes,No
475517,Closed with explanation,Yes,No
464244,Closed with explanation,Yes,No
488235,Closed with explanation,Yes,No
464248,Closed with monetary relief,Yes,No
488239,Closed with explanation,Yes,Yes
488615,Closed,Yes,No
482852,Closed with explanation,Yes,Yes
464257,Closed with monetary relief,Yes,No
475993,Closed with non-monetary relief,Yes,No
488248,Closed with explanation,Yes,No
464263,Closed with explanation,Yes,Yes
488255,Closed with explanation,Yes,No
480723,Closed with explanation,Yes,No
482857,Closed with explanation,Yes,Yes
498169,Closed with explanation,Yes,No
488258,Closed with explanation,Yes,Yes
487177,Closed with explanation,Yes,No
461730,Closed with explanation,No,
488259,Closed with explanation,Yes,No
464279,Closed with monetary relief,Yes,No
488267,Closed with explanation,Yes,Yes
487129,Closed with explanation,Yes,No
488271,Closed with explanation,Yes,No
465449,Closed with explanation,Yes,No
479979,Closed with explanation,Yes,No
499218,Closed with explanation,Yes,Yes
488281,Closed with explanation,Yes,No
488287,Closed with explanation,Yes,No
486979,Closed with explanation,Yes,No
465469,Closed with explanation,Yes,No
479385,Closed with non-monetary relief,Yes,No
487004,Closed with explanation,Yes,No
487298,Closed with explanation,Yes,No
484872,Closed with explanation,Yes,No
484863,Closed with non-monetary relief,Yes,No
484874,Closed with explanation,Yes,No
464292,Closed with explanation,Yes,No
488313,Closed with non-monetary relief,Yes,No
464858,Closed with explanation,Yes,Yes
464938,Closed with explanation,Yes,No
488671,Closed with explanation,Yes,No
464874,Closed with explanation,Yes,No
465502,Closed with non-monetary relief,Yes,No
465510,Closed with explanation,Yes,No
488673,Closed with explanation,Yes,Yes
482870,Closed with non-monetary relief,Yes,No
465515,Closed with explanation,Yes,No
463657,Closed with explanation,Yes,No
488646,Closed with explanation,Yes,Yes
484869,Closed with explanation,Yes,No
465522,Closed with explanation,Yes,No
488680,Closed with non-monetary relief,Yes,No
488685,Closed with non-monetary relief,Yes,No
491286,Closed with non-monetary relief,Yes,Yes
464367,Closed with explanation,Yes,No
476022,Closed with non-monetary relief,Yes,Yes
484886,Closed with explanation,Yes,No
484888,Closed with explanation,Yes,Yes
464383,Closed with explanation,Yes,No
464385,Closed with explanation,Yes,No
491428,Closed with explanation,Yes,No
489053,Closed with explanation,Yes,No
482883,Closed with explanation,Yes,No
482876,Closed with explanation,Yes,Yes
484838,Closed,Yes,No
465563,Closed with monetary relief,Yes,No
464406,Closed,Yes,No
465039,Closed,Yes,No
491296,Closed with explanation,Yes,Yes
466063,Closed with explanation,Yes,No
466089,Closed with explanation,Yes,No
491764,Closed with explanation,Yes,No
462649,Closed with explanation,Yes,Yes
491437,Closed with explanation,Yes,No
484896,Closed with explanation,Yes,No
489061,Closed with explanation,Yes,No
493243,Closed with non-monetary relief,Yes,No
482892,Closed with explanation,Yes,Yes
486603,Closed with explanation,Yes,No
484881,Closed with explanation,Yes,No
482894,Closed with explanation,Yes,No
484902,Closed with explanation,Yes,No
461373,Closed with explanation,Yes,Yes
482868,Closed with explanation,Yes,Yes
465600,Closed with explanation,Yes,No
464453,Closed with non-monetary relief,Yes,Yes
484907,Closed with non-monetary relief,Yes,No
465616,Closed with explanation,Yes,No
501167,Closed with explanation,Yes,No
489072,Closed with explanation,Yes,Yes
484911,Closed with explanation,Yes,No
482786,Closed with explanation,Yes,No
491465,Closed with explanation,Yes,No
484914,Closed with explanation,Yes,No
482900,Closed with monetary relief,Yes,Yes
463240,Closed with explanation,Yes,Yes
484920,Closed with explanation,Yes,No
482902,Closed with explanation,Yes,Yes
465649,Closed with explanation,Yes,No
493245,Closed with explanation,Yes,No
482904,Closed with explanation,Yes,Yes
482906,Closed with explanation,Yes,Yes
491475,Closed with explanation,Yes,No
484931,Closed with explanation,Yes,No
482909,Closed with explanation,Yes,Yes
464531,Closed with monetary relief,Yes,No
482914,Closed with explanation,Yes,No
484878,Closed with non-monetary relief,Yes,No
489099,Closed with explanation,Yes,No
487131,Closed with explanation,Yes,No
484782,Closed with explanation,Yes,Yes
489109,Closed with explanation,Yes,No
488991,Closed with explanation,Yes,No
491498,Closed with explanation,Yes,No
489105,Closed with explanation,Yes,No
469486,Closed with explanation,Yes,No
464578,Closed with explanation,Yes,No
491382,Closed with non-monetary relief,Yes,No
489119,Closed with explanation,Yes,Yes
489122,Closed with explanation,No,No
464529,Closed with non-monetary relief,Yes,No
465735,Closed with explanation,Yes,No
482927,Closed with explanation,Yes,Yes
465740,Closed with non-monetary relief,Yes,No
496684,Closed with explanation,Yes,Yes
465746,Closed with monetary relief,Yes,No
484956,Closed with explanation,Yes,No
484953,Closed with monetary relief,Yes,No
464613,Closed with monetary relief,Yes,No
465756,Closed with explanation,Yes,No
496685,Closed with explanation,Yes,Yes
491525,Closed with explanation,Yes,No
474854,Closed,Yes,Yes
499228,Closed with explanation,Yes,Yes
482934,Closed,Yes,Yes
491538,Closed with explanation,Yes,No
475665,Closed with non-monetary relief,Yes,No
489138,Closed with explanation,Yes,No
482935,Closed with explanation,Yes,Yes
482936,Closed with explanation,Yes,Yes
490915,Closed with explanation,Yes,No
491547,Closed with explanation,Yes,Yes
465790,Closed with explanation,Yes,Yes
465793,Closed with explanation,Yes,No
491186,Closed with explanation,Yes,Yes
482938,Closed with non-monetary relief,Yes,Yes
491541,Closed with explanation,Yes,No
464663,Closed with explanation,Yes,No
484966,Closed with explanation,Yes,No
465808,Closed with explanation,Yes,Yes
491553,Closed with non-monetary relief,Yes,Yes
484942,Closed with explanation,Yes,No
482986,Closed with monetary relief,Yes,No
464468,Closed with explanation,Yes,No
482983,Closed with explanation,Yes,No
465831,Closed with explanation,Yes,No
465832,Closed with explanation,Yes,Yes
465834,Closed with explanation,Yes,Yes
479452,Closed with explanation,Yes,Yes
482947,Closed with non-monetary relief,Yes,No
491572,Closed with explanation,Yes,No
466291,Closed with explanation,Yes,Yes
464698,Closed with explanation,Yes,No
455806,Closed with explanation,Yes,Yes
475076,Closed with explanation,Yes,No
465843,Closed with explanation,Yes,No
464705,Closed with explanation,Yes,Yes
499033,Closed with monetary relief,Yes,No
465849,Closed with explanation,Yes,No
471477,Closed with explanation,Yes,No
475544,Closed with explanation,Yes,Yes
484233,Closed with monetary relief,Yes,No
465962,Closed with explanation,Yes,No
475990,Closed with non-monetary relief,Yes,Yes
466674,Closed with explanation,Yes,No
484976,Closed with non-monetary relief,Yes,No
465857,Closed with monetary relief,Yes,No
465859,Closed with monetary relief,Yes,No
465862,Closed with explanation,Yes,No
484977,Closed with explanation,Yes,Yes
465868,Closed with explanation,Yes,No
483016,Closed with explanation,Yes,No
483006,Closed with explanation,Yes,Yes
484975,Closed with non-monetary relief,Yes,No
480358,Closed with explanation,Yes,No
465895,Closed with non-monetary relief,Yes,No
464764,Closed with monetary relief,Yes,No
464720,Closed with explanation,Yes,Yes
463555,Closed with explanation,Yes,No
491439,Closed with explanation,Yes,No
465918,Closed with explanation,Yes,Yes
464973,Closed with explanation,Yes,No
489177,Closed with explanation,Yes,No
465921,Closed with explanation,Yes,Yes
464792,Closed with explanation,Yes,No
464793,Closed with explanation,Yes,Yes
489163,Closed with explanation,Yes,No
475005,Closed with non-monetary relief,Yes,Yes
464799,Closed with explanation,Yes,No
464800,Closed with non-monetary relief,Yes,Yes
462896,Closed with explanation,Yes,Yes
464803,Closed with explanation,Yes,No
484962,Closed with explanation,Yes,Yes
464811,Closed with monetary relief,Yes,No
475198,Closed with explanation,Yes,Yes
465934,Closed with explanation,Yes,No
465935,Closed with explanation,Yes,No
475499,Closed with non-monetary relief,Yes,No
464813,Closed with explanation,Yes,No
482903,Closed with explanation,Yes,No
484994,Closed with explanation,Yes,No
491368,Closed with explanation,Yes,No
469938,Closed with explanation,Yes,No
465943,Closed with non-monetary relief,Yes,No
465944,Closed with explanation,Yes,No
489185,Closed with explanation,Yes,Yes
484201,Closed with monetary relief,Yes,No
491634,Closed with explanation,Yes,No
484933,Closed with explanation,Yes,Yes
465952,Closed with explanation,Yes,No
483044,Closed with monetary relief,Yes,No
461581,Closed with explanation,Yes,No
475395,Closed with monetary relief,Yes,No
465957,Closed with explanation,Yes,Yes
464836,Closed with explanation,Yes,No
491670,Closed with explanation,Yes,No
491671,Closed with explanation,Yes,No
480574,Closed with explanation,Yes,No
465970,Closed with non-monetary relief,Yes,No
464987,Closed with non-monetary relief,Yes,No
464992,Closed with explanation,Yes,No
465975,Closed with non-monetary relief,Yes,No
475938,Closed with non-monetary relief,Yes,No
475939,Closed with non-monetary relief,Yes,No
484689,Closed with explanation,Yes,Yes
464830,Closed with explanation,Yes,No
482978,Closed with non-monetary relief,Yes,No
482979,Closed with explanation,Yes,Yes
491687,Closed,Yes,Yes
465506,Closed with explanation,Yes,No
466753,Closed with explanation,Yes,No
467035,Closed with non-monetary relief,Yes,No
465102,Closed with explanation,Yes,No
489208,Closed with explanation,Yes,No
482761,Closed with explanation,Yes,Yes
465991,Closed with explanation,Yes,Yes
465513,Closed with explanation,Yes,Yes
485006,Closed with explanation,Yes,No
464854,Closed with explanation,Yes,No
491702,Closed with explanation,Yes,Yes
466016,Closed with non-monetary relief,Yes,No
466935,Closed,Yes,No
480103,Closed with monetary relief,Yes,No
